Date,Open,High,Low,Close,Volume
2011-11-08,126.93,128.02,125.71,127.86,198356191
2011-11-09,124.91,125.46,122.87,123.19,258953226
2011-11-10,124.8,124.94,123.02,124.32,212759650
2011-11-11,125.86,126.99,125.8,126.62,160894568
2011-11-14,126.21,126.35,124.92,125.46,132357162
2011-11-15,125.12,126.75,124.72,126.12,161096614
2011-11-16,124.81,126.34,123.9,124.05,208022997
2011-11-17,123.84,124.16,121.23,122.18,289968098
2011-11-18,122.46,122.75,121.47,121.99,194731409
2011-11-21,120.21,120.34,118.66,119.62,196378704
2011-11-22,119.39,120.1,118.53,119.19,211395413
2011-11-23,118.07,118.2,116.56,116.56,187557531
2011-11-25,116.38,117.7,116.2,116.2,82609855
2011-11-28,119.53,120.18,118.82,119.7,187351680
2011-11-29,120.09,120.86,119.61,120.08,179062421
2011-11-30,123.5,125.22,123.22,125.11,251880591
2011-12-01,124.85,125.64,124.43,124.98,159154203
2011-12-02,126.14,126.5,124.78,124.86,177337985
2011-12-05,126.8,127.18,125.45,126.21,162251741
2011-12-06,126.17,127.11,125.76,126.26,131839611
2011-12-07,125.84,127.26,124.97,126.75,198050354
2011-12-08,125.88,126.18,123.65,123.98,209396519
2011-12-09,124.52,126.37,124.41,126.03,165468493
2011-12-12,124.91,124.97,123.16,124.24,178947251
2011-12-13,124.9,125.57,122.45,123.11,208440687
2011-12-14,122.59,123.02,121.47,121.71,209648393
2011-12-15,123.12,123.2,121.99,122.15,165196209
2011-12-16,122.21,122.95,121.3,121.57,176091223
2011-12-19,122.06,122.32,120.03,120.32,155423430
2011-12-20,122.23,124.14,122.17,123.88,174072018
2011-12-21,123.94,124.36,122.75,124.17,172629737
2011-12-22,124.64,125.39,124.36,125.33,107292214
2011-12-23,125.64,126.43,125.41,126.39,70389081
2011-12-27,126.15,126.82,126.06,126.49,67901152
2011-12-28,126.53,126.53,124.73,124.92,99876424
2011-12-29,125.21,126.25,125.18,126.1,92793923
2011-12-30,125.99,126.33,125.5,125.5,68634754
2012-01-03,127.75,128.38,127.44,127.49,153839622
2012-01-04,127.18,127.81,126.72,127.63,97719637
2012-01-05,127.01,128.23,126.43,128.1,125717608
2012-01-06,128.22,128.22,127.29,127.82,107707317
2012-01-09,128.04,128.18,127.41,127.99,73574543
2012-01-10,129.37,129.65,128.95,129.13,89928567
2012-01-11,128.75,129.37,128.52,129.25,89885776
2012-01-12,129.54,129.7,128.54,129.51,90072240
2012-01-13,128.66,129.01,127.72,129.01,140555253
2012-01-17,130.1,130.32,129.06,129.31,100741169
2012-01-18,129.35,130.84,129.08,130.8,121911064
2012-01-19,131.24,131.57,130.81,131.48,94452469
2012-01-20,131.23,131.95,130.92,131.95,92111257
2012-01-23,131.5,132.25,130.98,131.58,104367886
2012-01-24,130.77,131.5,130.6,131.46,80446736
2012-01-25,131.24,132.87,130.75,132.57,142742589
2012-01-26,133.15,133.4,131.37,131.9,136612555
2012-01-27,131.15,132.05,131.15,131.73,103843754
2012-01-30,130.5,131.44,130.06,131.38,111244083
2012-01-31,132.02,132.18,130.68,131.21,123069314
2012-02-01,132.31,133.14,132.13,132.47,123870829
2012-02-02,132.75,133.02,132.21,132.68,87353028
2012-02-03,134.03,134.62,133.77,134.57,108928852
2012-02-06,133.99,134.5,133.83,134.46,78933992
2012-02-07,134.2,135.02,133.64,134.79,105743604
2012-02-08,134.88,135.22,134.31,135.19,101030602
2012-02-09,135.39,135.58,134.57,135.34,115253050
2012-02-10,134.14,134.47,133.84,134.43,120730639
2012-02-13,135.29,135.52,134.74,135.36,90078617
2012-02-14,134.99,135.27,134.25,135.19,124259501
2012-02-15,135.64,135.83,134.29,134.54,151754087
2012-02-16,134.56,136.17,134.34,136.04,133245607
2012-02-17,136.52,136.57,135.96,136.41,96651581
2012-02-21,136.75,137.05,136.05,136.46,95051314
2012-02-22,136.2,136.55,135.79,136.02,95836135
2012-02-23,135.95,136.73,135.5,136.61,111498117
2012-02-24,136.95,137.2,136.63,136.93,85773667
2012-02-27,136.04,137.53,135.8,137.16,108707496
2012-02-28,137.19,137.72,136.93,137.56,98896749
2012-02-29,137.73,138.19,136.72,136.87,137944326
2012-03-01,137.32,137.99,137.12,137.77,110411453
2012-03-02,137.63,137.82,137.0,137.32,88920412
2012-03-05,137.05,137.19,136.28,136.75,96836494
2012-03-06,135.29,135.43,134.36,134.67,144814675
2012-03-07,135.06,135.91,134.93,135.69,103577541
2012-03-08,136.5,137.32,136.24,137.02,85876391
2012-03-09,137.36,137.93,137.13,137.57,91438907
2012-03-12,137.56,137.76,137.09,137.58,78786035
2012-03-13,138.38,140.12,138.09,140.06,158323337
2012-03-14,140.07,140.45,139.48,139.91,128829330
2012-03-15,140.12,140.78,139.76,140.72,137226098
2012-03-16,140.32,140.48,140.0,140.27,124840231
2012-03-19,140.2,141.28,140.11,140.88,109925153
2012-03-20,140.05,140.61,139.64,140.41,111240920
2012-03-21,140.46,140.65,139.92,140.16,108863774
2012-03-22,139.17,139.55,138.74,139.16,125466549
2012-03-23,139.37,139.81,138.55,139.69,92667075
2012-03-26,140.62,141.61,140.6,141.61,99701237
2012-03-27,141.74,141.83,141.08,141.13,92318657
2012-03-28,141.09,141.32,139.64,140.43,129945172
2012-03-29,139.62,140.42,139.09,140.22,149350733
2012-03-30,140.91,141.05,140.06,140.72,116418788
2012-04-02,140.64,142.21,140.37,141.79,124770859
2012-04-03,141.6,141.88,140.43,141.26,135974247
2012-04-04,140.17,140.33,139.34,139.84,136665920
2012-04-05,139.4,140.2,139.26,139.78,104649640
2012-04-09,137.94,138.78,137.84,138.23,102847154
2012-04-10,137.94,138.34,135.76,135.84,218274578
2012-04-11,137.33,137.54,136.75,136.9,132627770
2012-04-12,137.13,138.9,137.03,138.85,139019808
2012-04-13,138.46,138.48,137.01,137.13,139193450
2012-04-16,137.83,138.04,136.58,136.93,135725445
2012-04-17,137.86,139.36,137.7,139.09,120502872
2012-04-18,138.49,139.08,138.38,138.59,112671125
2012-04-19,138.6,139.14,137.07,137.75,183200752
2012-04-20,138.24,138.83,137.87,137.95,126288466
2012-04-23,136.55,136.91,135.94,136.79,143801646
2012-04-24,136.87,137.65,136.8,137.31,120700892
2012-04-25,138.56,139.25,138.53,139.24,133661106
2012-04-26,138.91,140.32,138.82,140.17,114664137
2012-04-27,140.56,140.78,139.8,140.42,104637129
2012-04-30,140.13,140.21,139.49,139.77,92165955
2012-05-01,139.81,141.66,139.63,140.74,115353699
2012-05-02,139.93,140.46,139.46,140.28,103011706
2012-05-03,140.4,140.45,138.99,139.25,123832837
2012-05-04,138.52,138.66,136.92,136.96,158063698
2012-05-07,136.48,137.56,136.47,137.1,108876105
2012-05-08,136.31,136.77,134.92,136.5,191348137
2012-05-09,135.1,136.6,134.49,135.74,201963421
2012-05-10,136.75,136.85,135.71,135.95,129264219
2012-05-11,135.16,136.87,135.11,135.56,135521665
2012-05-14,134.32,135.03,133.91,134.13,140800618
2012-05-15,134.05,134.81,133.13,133.35,177460833
2012-05-16,133.92,134.54,132.8,132.88,187878911
2012-05-17,132.88,133.02,130.81,130.87,212866150
2012-05-18,131.4,131.6,129.55,129.74,279229262
2012-05-21,130.14,132.02,129.95,132.02,148240929
2012-05-22,132.34,133.23,131.34,132.2,168227548
2012-05-23,131.26,132.46,129.99,132.27,190382180
2012-05-24,132.67,132.84,131.42,132.53,150009412
2012-05-25,132.48,132.85,131.78,132.1,117560211
2012-05-29,133.16,133.93,132.75,133.7,136971363
2012-05-30,132.59,132.62,131.49,131.73,137463079
2012-05-31,131.71,132.45,130.34,131.49,177358856
2012-06-01,129.41,129.85,128.16,128.16,204865682
2012-06-04,128.44,128.74,127.14,128.1,165707651
2012-06-05,127.88,129.26,127.79,129.03,142793334
2012-06-06,129.98,132.03,129.93,132.02,158440296
2012-06-07,133.49,133.53,131.78,132.05,161308954
2012-06-08,131.72,133.12,131.29,133.12,122247149
2012-06-11,134.19,134.25,131.28,131.45,147440040
2012-06-12,131.8,133.01,131.16,133.01,158037459
2012-06-13,132.5,133.36,131.62,132.1,156244332
2012-06-14,132.38,134.0,131.98,133.57,205109009
2012-06-15,133.35,134.26,133.11,134.1,140129470
2012-06-18,133.59,134.73,133.29,134.43,114237240
2012-06-19,135.13,136.25,134.93,135.69,123471677
2012-06-20,135.76,136.1,134.46,135.44,187408947
2012-06-21,135.67,135.78,132.33,132.44,183348690
2012-06-22,133.11,133.71,132.62,133.42,113139172
2012-06-25,132.1,132.1,130.85,131.26,127618191
2012-06-26,131.69,132.38,130.93,132.0,130178242
2012-06-27,132.4,133.43,132.31,133.17,93079408
2012-06-28,132.32,132.99,131.28,132.79,155144041
2012-06-29,135.24,136.27,134.85,136.27,171534507
2012-07-02,136.53,136.65,135.52,136.46,109683533
2012-07-03,136.51,137.51,136.34,137.47,71720585
2012-07-05,136.93,137.4,136.29,136.84,106181413
2012-07-06,135.56,135.76,134.85,135.59,122598176
2012-07-09,135.41,135.57,134.7,135.32,89161246
2012-07-10,136.08,136.23,133.68,134.14,136359914
2012-07-11,134.23,134.6,133.38,134.16,128650992
2012-07-12,133.39,134.09,132.6,133.51,129050301
2012-07-13,133.88,135.88,133.84,135.75,110927086
2012-07-16,135.42,135.83,134.9,135.39,82751324
2012-07-17,136.01,136.64,134.55,136.36,120755154
2012-07-18,136.02,137.64,135.96,137.41,101000531
2012-07-19,137.63,138.18,137.21,137.74,115912986
2012-07-20,136.98,137.16,136.32,136.47,124504674
2012-07-23,134.45,135.46,133.85,135.09,118466395
2012-07-24,135.2,135.25,133.03,134.03,145582265
2012-07-25,134.26,134.56,133.25,133.95,103594503
2012-07-26,135.91,136.46,135.26,136.17,125654874
2012-07-27,136.91,139.07,136.65,138.8,186380497
2012-07-30,138.57,139.33,138.27,138.68,94642715
2012-07-31,138.51,138.87,137.71,137.71,101993870
2012-08-01,138.72,138.73,137.4,137.59,120308711
2012-08-02,136.54,137.56,135.59,136.64,162944408
2012-08-03,138.6,139.64,138.5,139.39,125877370
2012-08-06,139.7,140.17,139.56,139.62,73331353
2012-08-07,140.2,140.92,140.15,140.32,91323457
2012-08-08,139.82,140.64,139.81,140.49,77895539
2012-08-09,140.3,140.89,140.15,140.63,78981598
2012-08-10,140.07,140.89,139.81,140.84,91051646
2012-08-13,140.6,140.84,140.04,140.77,71864462
2012-08-14,141.28,141.38,140.37,140.79,85796080
2012-08-15,140.64,141.19,140.55,140.95,63862368
2012-08-16,141.09,142.16,140.8,142.01,94540455
2012-08-17,142.25,142.3,141.86,142.22,77899419
2012-08-20,142.01,142.22,141.6,142.22,65230362
2012-08-21,142.52,143.09,141.45,141.76,91504684
2012-08-22,141.38,142.05,141.07,141.82,113612822
2012-08-23,141.45,141.48,140.44,140.68,98981571
2012-08-24,140.3,141.81,140.22,141.52,84633688
2012-08-27,141.9,142.08,141.34,141.54,59637252
2012-08-28,141.17,141.84,140.97,141.4,67508199
2012-08-29,141.48,141.89,141.12,141.51,60586630
